,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
117,1291,2027-08-28,126119985409.31322,92724767064.06001,159515203754.5664
118,1292,2027-09-04,125924024288.4865,92192766536.51561,159655282040.45737
119,1293,2027-09-11,128561556727.66931,94497311801.09982,162625801654.2388
120,1294,2027-09-18,123612916396.95604,89219091714.77896,158006741079.13312
121,1295,2027-09-25,130578119187.79878,95857947727.99063,165298290647.60693
122,1296,2027-10-02,127080405066.35297,92036827338.53558,162123982794.17035
123,1297,2027-10-09,127289118557.6156,91925070661.64586,162653166453.58533
124,1298,2027-10-16,126156513616.85402,90474910876.21227,161838116357.4958
125,1299,2027-10-23,127874313270.82028,91877963038.09723,163870663503.54333
126,1300,2027-10-30,127709490372.46634,91401104408.55289,164017876336.3798
127,1301,2027-11-06,126358510918.69484,89740748501.0914,162976273336.29828
128,1302,2027-11-13,126107871641.65619,89183330913.465,163032412369.84738
129,1303,2027-11-20,126272184808.84009,89043392950.26624,163500976667.41394
130,1304,2027-11-27,124490021740.93716,86959442736.39215,162020600745.48218
131,1305,2027-12-04,124966652054.77129,87136693962.61339,162796610146.9292
132,1306,2027-12-11,124350460818.94319,86223475176.17221,162477446461.71417
133,1307,2027-12-18,126999432669.03456,88577715308.40442,165421150029.6647
134,1308,2027-12-25,133060769273.04097,94346563626.89124,171774974919.1907
